Bundle,Resolved Bundles
com.google.code.atinject.tck_1.1.0.v20150813-0925,0
com.ibm.icu_56.1.0.v201601250100,1
com.jcraft.jsch_0.1.54.v20170116-1932,2
com.sun.el_2.2.0.v201303151357,3
javax.annotation_1.2.0.v201602091430,4
javax.el_2.2.0.v201303151357,5
javax.inject_1.0.0.v20091030,6
javax.servlet_3.1.0.v201410161800,8
javax.servlet.jsp_2.2.0.v201112011158,7
javax.xml_1.3.4.v201005080400,9
org.apache.ant_1.9.6.v201510161327,10
org.apache.batik.css_1.7.0.v201011041433,11
org.apache.batik.util_1.7.0.v201011041433,13
org.apache.batik.util.gui_1.7.0.v200903091627,12
org.apache.commons.codec_1.6.0.v201305230611,14
org.apache.commons.fileupload_1.2.2.v20111214-1400,15
org.apache.commons.io_2.2.0.v201405211200,16
org.apache.commons.jxpath_1.3.0.v200911051830,17
org.apache.commons.logging_1.1.1.v201101211721,18
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,19
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,20
org.apache.jasper.glassfish_2.2.2.v201501141630,21
org.apache.lucene.analysis_3.5.0.v20120725-1805,22
org.apache.lucene.core_3.5.0.v20120725-1805,23
org.apache.mina.core_2.0.7.v201401071602,24
org.apache.sshd.core_0.7.0.v201303101611,25
org.easymock_2.4.0.v20090202-0900,26
org.eclipse.ant.core_3.4.100.v20160505-0642,27
org.eclipse.ant.launching_1.1.201.v20161115-1135,28
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,29
org.eclipse.ant.ui_3.6.201.v20161115-1135,30
org.eclipse.compare_3.7.1.v20170103-1805,34
org.eclipse.compare.core_3.6.0.v20160418-1534,31
org.eclipse.compare.examples_3.2.0.v20160323-1650,33
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,32
org.eclipse.core.commands_3.8.1.v20161221-1651,35
org.eclipse.core.contenttype_3.5.100.v20160418-1621,36
org.eclipse.core.databinding_1.6.0.v20160412-0910,40
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,37
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,38
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,39
org.eclipse.core.expressions_3.5.100.v20160418-1621,41
org.eclipse.core.externaltools_1.0.400.v20160509-1057,42
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,43
org.eclipse.core.filesystem_1.6.1.v20161113-2349,45
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,44
org.eclipse.core.jobs_3.8.0.v20160509-0411,46
org.eclipse.core.net_1.3.0.v20160418-1534,47
org.eclipse.core.resources_3.11.1.v20161107-2032,48
org.eclipse.core.runtime_3.12.0.v20160606-1342,49
org.eclipse.core.variables_3.3.0.v20160419-1720,50
org.eclipse.cvs_1.4.302.v20170301-0400,51
org.eclipse.debug.core_3.10.100.v20160419-1720,52
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,53
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,54
org.eclipse.debug.ui_3.11.202.v20161114-0338,55
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,56
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,57
org.eclipse.e4.core.di_1.6.1.v20160712-0927,60
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,58
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,59
org.eclipse.e4.core.services_2.0.100.v20160509-1032,61
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,62
org.eclipse.e4.tools_4.5.0.v20160503-0947,66
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,63
