Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,981642114
com.ibm.icu_56.1.0.v201601250100,979221646
com.jcraft.jsch_0.1.54.v20170116-1932,977167437
com.sun.el_2.2.0.v201303151357,975803437
javax.annotation_1.2.0.v201602091430,974505666
javax.el_2.2.0.v201303151357,973470496
javax.inject_1.0.0.v20091030,972656838
javax.servlet_3.1.0.v201410161800,969471923
javax.servlet.jsp_2.2.0.v201112011158,971151114
javax.xml_1.3.4.v201005080400,966551669
org.apache.ant_1.9.6.v201510161327,964368712
org.apache.batik.css_1.7.0.v201011041433,962619043
org.apache.batik.util_1.7.0.v201011041433,959989165
org.apache.batik.util.gui_1.7.0.v200903091627,961247943
org.apache.commons.codec_1.6.0.v201305230611,957731672
org.apache.commons.fileupload_1.2.2.v20111214-1400,956431036
org.apache.commons.io_2.2.0.v201405211200,955201481
org.apache.commons.jxpath_1.3.0.v200911051830,953565833
org.apache.commons.logging_1.1.1.v201101211721,952510893
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,940112985
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,938545151
org.apache.jasper.glassfish_2.2.2.v201501141630,935441352
org.apache.lucene.analysis_3.5.0.v20120725-1805,933409316
org.apache.lucene.core_3.5.0.v20120725-1805,931785457
org.apache.mina.core_2.0.7.v201401071602,926990112
org.apache.sshd.core_0.7.0.v201303101611,923216502
org.easymock_2.4.0.v20090202-0900,921862786
org.eclipse.ant.core_3.4.100.v20160505-0642,920675952
org.eclipse.ant.launching_1.1.201.v20161115-1135,919266655
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,918265335
org.eclipse.ant.ui_3.6.201.v20161115-1135,914240496
org.eclipse.compare_3.7.1.v20170103-1805,907333849
org.eclipse.compare.core_3.6.0.v20160418-1534,913070827
org.eclipse.compare.examples_3.2.0.v20160323-1650,911406730
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,912123429
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,906091377
org.eclipse.core.contenttype_3.5.100.v20160418-1621,904821236
org.eclipse.core.databinding_1.6.0.v20160412-0910,898042083
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,903639773
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,901399750
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,899821378
org.eclipse.core.expressions_3.5.100.v20160418-1621,896133482
org.eclipse.core.externaltools_1.0.400.v20160509-1057,895009481
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,893623950
org.eclipse.core.filesystem_1.6.1.v20161113-2349,882256920
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,885025475
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,881061519
org.eclipse.core.net_1.3.0.v20160418-1534,876809989
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,868808432
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
