Bundle,State
com.google.code.atinject.tck_1.1.0.v20150813-0925,RESOLVED
com.ibm.icu_56.1.0.v201601250100,STARTING
com.jcraft.jsch_0.1.54.v20170116-1932,RESOLVED
com.sun.el_2.2.0.v201303151357,RESOLVED
javax.annotation_1.2.0.v201602091430,RESOLVED
javax.el_2.2.0.v201303151357,RESOLVED
javax.inject_1.0.0.v20091030,RESOLVED
javax.servlet_3.1.0.v201410161800,RESOLVED
javax.servlet.jsp_2.2.0.v201112011158,RESOLVED
javax.xml_1.3.4.v201005080400,RESOLVED
org.apache.ant_1.9.6.v201510161327,RESOLVED
org.apache.batik.css_1.7.0.v201011041433,RESOLVED
org.apache.batik.util_1.7.0.v201011041433,RESOLVED
org.apache.batik.util.gui_1.7.0.v200903091627,RESOLVED
org.apache.commons.codec_1.6.0.v201305230611,RESOLVED
org.apache.commons.fileupload_1.2.2.v20111214-1400,RESOLVED
org.apache.commons.io_2.2.0.v201405211200,RESOLVED
org.apache.commons.jxpath_1.3.0.v200911051830,RESOLVED
org.apache.commons.logging_1.1.1.v201101211721,RESOLVED
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,RESOLVED
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,RESOLVED
org.apache.jasper.glassfish_2.2.2.v201501141630,RESOLVED
org.apache.lucene.analysis_3.5.0.v20120725-1805,RESOLVED
org.apache.lucene.core_3.5.0.v20120725-1805,RESOLVED
org.apache.mina.core_2.0.7.v201401071602,RESOLVED
org.apache.sshd.core_0.7.0.v201303101611,RESOLVED
org.easymock_2.4.0.v20090202-0900,RESOLVED
org.eclipse.ant.core_3.4.100.v20160505-0642,STARTING
org.eclipse.ant.launching_1.1.201.v20161115-1135,STARTING
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,RESOLVED
org.eclipse.ant.ui_3.6.201.v20161115-1135,STARTING
org.eclipse.compare_3.7.1.v20170103-1805,STARTING
org.eclipse.compare.core_3.6.0.v20160418-1534,STARTING
org.eclipse.compare.examples_3.2.0.v20160323-1650,STARTING
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,STARTING
org.eclipse.compare.win32_1.1.0.v20160418-1534,INSTALLED
org.eclipse.core.commands_3.8.1.v20161221-1651,RESOLVED
org.eclipse.core.contenttype_3.5.100.v20160418-1621,STARTING
org.eclipse.core.databinding_1.6.0.v20160412-0910,STARTING
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,RESOLVED
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,RESOLVED
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,STARTING
org.eclipse.core.expressions_3.5.100.v20160418-1621,STARTING
org.eclipse.core.externaltools_1.0.400.v20160509-1057,STARTING
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,STARTING
org.eclipse.core.filesystem_1.6.1.v20161113-2349,STARTING
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,INSTALLED
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,RESOLVED
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,INSTALLED
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,INSTALLED
