Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,896993932
com.ibm.icu_56.1.0.v201601250100,894390954
com.jcraft.jsch_0.1.54.v20170116-1932,892180015
com.sun.el_2.2.0.v201303151357,890819770
javax.annotation_1.2.0.v201602091430,889583746
javax.el_2.2.0.v201303151357,888446037
javax.inject_1.0.0.v20091030,887634604
javax.servlet_3.1.0.v201410161800,884546259
javax.servlet.jsp_2.2.0.v201112011158,886149000
javax.xml_1.3.4.v201005080400,882426618
org.apache.ant_1.9.6.v201510161327,880567125
org.apache.batik.css_1.7.0.v201011041433,879174448
org.apache.batik.util_1.7.0.v201011041433,876974783
org.apache.batik.util.gui_1.7.0.v200903091627,878104107
org.apache.commons.codec_1.6.0.v201305230611,874614555
org.apache.commons.fileupload_1.2.2.v20111214-1400,872177208
org.apache.commons.io_2.2.0.v201405211200,870457826
org.apache.commons.jxpath_1.3.0.v200911051830,868669605
org.apache.commons.logging_1.1.1.v201101211721,867627207
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,856906882
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,854825557
org.apache.jasper.glassfish_2.2.2.v201501141630,851663620
org.apache.lucene.analysis_3.5.0.v20120725-1805,849843143
org.apache.lucene.core_3.5.0.v20120725-1805,848461238
org.apache.mina.core_2.0.7.v201401071602,843178946
org.apache.sshd.core_0.7.0.v201303101611,838094553
org.easymock_2.4.0.v20090202-0900,836978965
org.eclipse.ant.core_3.4.100.v20160505-0642,835571161
org.eclipse.ant.launching_1.1.201.v20161115-1135,834103633
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,833281031
org.eclipse.ant.ui_3.6.201.v20161115-1135,829524606
org.eclipse.compare_3.7.1.v20170103-1805,822891267
org.eclipse.compare.core_3.6.0.v20160418-1534,828487095
org.eclipse.compare.examples_3.2.0.v20160323-1650,826715222
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,827425903
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,821039323
org.eclipse.core.contenttype_3.5.100.v20160418-1621,819903307
org.eclipse.core.databinding_1.6.0.v20160412-0910,813816294
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,818930388
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,816918105
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,815368977
