Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,1021884377
com.ibm.icu_56.1.0.v201601250100,1020524619
com.jcraft.jsch_0.1.54.v20170116-1932,1019288948
com.sun.el_2.2.0.v201303151357,1017898269
javax.annotation_1.2.0.v201602091430,1016649925
javax.el_2.2.0.v201303151357,1015589376
javax.inject_1.0.0.v20091030,1014811903
javax.servlet_3.1.0.v201410161800,1012972345
javax.servlet.jsp_2.2.0.v201112011158,1013894455
javax.xml_1.3.4.v201005080400,1011031326
org.apache.ant_1.9.6.v201510161327,1009360351
org.apache.batik.css_1.7.0.v201011041433,1008354593
org.apache.batik.util_1.7.0.v201011041433,1006570690
org.apache.batik.util.gui_1.7.0.v200903091627,1007365201
org.apache.commons.codec_1.6.0.v201305230611,1004846571
org.apache.commons.fileupload_1.2.2.v20111214-1400,1003684926
org.apache.commons.io_2.2.0.v201405211200,1002598152
org.apache.commons.jxpath_1.3.0.v200911051830,1001914459
org.apache.commons.logging_1.1.1.v201101211721,1000541778
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,987586659
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,986148535
org.apache.jasper.glassfish_2.2.2.v201501141630,980577014
org.apache.lucene.analysis_3.5.0.v20120725-1805,978329389
org.apache.lucene.core_3.5.0.v20120725-1805,976587108
org.apache.mina.core_2.0.7.v201401071602,969540012
org.apache.sshd.core_0.7.0.v201303101611,965501766
org.easymock_2.4.0.v20090202-0900,963861295
org.eclipse.ant.core_3.4.100.v20160505-0642,962331879
org.eclipse.ant.launching_1.1.201.v20161115-1135,960898991
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,960013649
org.eclipse.ant.ui_3.6.201.v20161115-1135,955879027
org.eclipse.compare_3.7.1.v20170103-1805,947367567
org.eclipse.compare.core_3.6.0.v20160418-1534,954497596
org.eclipse.compare.examples_3.2.0.v20160323-1650,951978387
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,953001789
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,945968090
org.eclipse.core.contenttype_3.5.100.v20160418-1621,944610839
org.eclipse.core.databinding_1.6.0.v20160412-0910,933540901
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,943452295
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,941115301
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,939641218
org.eclipse.core.expressions_3.5.100.v20160418-1621,932326764
org.eclipse.core.externaltools_1.0.400.v20160509-1057,931380209
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,930174576
org.eclipse.core.filesystem_1.6.1.v20161113-2349,920213639
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,922727097
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,919381967
org.eclipse.core.net_1.3.0.v20160418-1534,914711650
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,911165528
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,910046465
org.eclipse.core.variables_3.3.0.v20160419-1720,909093532
org.eclipse.cvs_1.4.302.v20170301-0400,908402220
org.eclipse.debug.core_3.10.100.v20160419-1720,906779084
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,905166142
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,903581092
org.eclipse.debug.ui_3.11.202.v20161114-0338,897995052
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,897195596
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,896674361
org.eclipse.e4.core.di_1.6.1.v20160712-0927,894071678
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,895931366
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,895016351
org.eclipse.e4.core.services_2.0.100.v20160509-1032,893016533
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,890639763
org.eclipse.e4.tools_4.5.0.v20160503-0947,881802020
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,890075188
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,884163327
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,883440439
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,880746618
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,879306284
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,877315567
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,878439325
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,876485282
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,875645990
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,873798288
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,872808988
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,-1
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,871145500
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,864010746
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,870265470
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,867947719
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,869353875
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,866221347
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,865306609
org.eclipse.ecf_3.8.0.v20160405-1820,855317813
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,863134369
org.eclipse.ecf.identity_3.7.0.v20160405-1820,861706924
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,857278543
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,859744042
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,860947802
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,858973392
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,856486401
org.eclipse.emf.common_2.12.0.v20160420-0247,853763578
org.eclipse.emf.ecore_2.12.0.v20160420-0247,849329611
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,852832953
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,851306884
org.eclipse.equinox.app_1.3.400.v20150715-1528,848233539
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,847209961
org.eclipse.equinox.cm_1.1.200.v20160324-1850,846249494
org.eclipse.equinox.common_3.8.0.v20160509-1230,-1
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,844410270
org.eclipse.equinox.console_1.1.200.v20150929-1405,-1
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,843766963
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,842695069
org.eclipse.equinox.coordinator_1.3.200.v20160325-1323,840307701
org.eclipse.equinox.device_1.0.400.v20130327-1442,839133937
org.eclipse.equinox.ds_1.4.400.v20160226-2036,837800827
org.eclipse.equinox.event_1.3.200.v20160324-1850,836751009
org.eclipse.equinox.frameworkadmin_2.0.300.v20160504-1450,834123025
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223,835615782
org.eclipse.equinox.frameworkadmin.test_1.1.100.v20150430-1836,834504168
org.eclipse.equinox.http.jetty_3.3.0.v20160324-1850,833012179
org.eclipse.equinox.http.registry_1.1.400.v20150715-1528,832181976
org.eclipse.equinox.http.servlet_1.3.1.v20160808-1329,830808656
org.eclipse.equinox.http.servletbridge_1.0.300.v20130327-1442,830079731
org.eclipse.equinox.io_1.1.100.v20150430-1834,829218210
org.eclipse.equinox.ip_1.1.300.v20130327-1442,828155087
org.eclipse.equinox.jsp.jasper_1.0.500.v20150119-1358,826251522
org.eclipse.equinox.jsp.jasper.registry_1.0.300.v20130327-1442,827105610
org.eclipse.equinox.launcher_1.3.201.v20161025-1711,815063796
org.eclipse.equinox.launcher.cocoa.macosx.x86_64_1.1.401.v20161122-1740,825552647
org.eclipse.equinox.launcher.gtk.aix.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.aix.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.hpux.ia64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64le_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390x_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.sparcv9_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.win32.win32.x86_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.win32.win32.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.metatype_1.4.200.v20160324-1850,813871108
org.eclipse.equinox.p2.artifact.repository_1.1.500.v20160419-0834,812582148
org.eclipse.equinox.p2.console_1.0.500.v20160504-1450,811753124
org.eclipse.equinox.p2.core_2.4.100.v20160419-0834,810708961
org.eclipse.equinox.p2.director_2.3.300.v20160504-1450,793748726
org.eclipse.equinox.p2.director.app_1.0.500.v20160419-0834,809587870
org.eclipse.equinox.p2.directorywatcher_1.1.100.v20150423-1455,792800422
org.eclipse.equinox.p2.discovery_1.0.400.v20160504-1450,791224438
org.eclipse.equinox.p2.discovery.compatibility_1.0.200.v20131211-1531,792135772
org.eclipse.equinox.p2.engine_2.4.100.v20160419-0834,789937296
org.eclipse.equinox.p2.extensionlocation_1.2.300.v20160419-0834,788945479
org.eclipse.equinox.p2.garbagecollector_1.0.300.v20160504-1450,787897790
org.eclipse.equinox.p2.installer_1.0.500.v20160419-0100,786744057
org.eclipse.equinox.p2.jarprocessor_1.0.500.v20160504-1450,785829568
org.eclipse.equinox.p2.metadata_2.3.100.v20160427-2220,780917895
org.eclipse.equinox.p2.metadata.repository_1.2.300.v20160419-0834,782476737
org.eclipse.equinox.p2.operations_2.4.200.v20160504-1450,779947316
org.eclipse.equinox.p2.publisher_1.4.100.v20160504-1450,777403203
