Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,877220157
com.ibm.icu_56.1.0.v201601250100,875796145
com.jcraft.jsch_0.1.54.v20170116-1932,874523795
com.sun.el_2.2.0.v201303151357,873194379
javax.annotation_1.2.0.v201602091430,872092799
javax.el_2.2.0.v201303151357,870962423
javax.inject_1.0.0.v20091030,870070803
javax.servlet_3.1.0.v201410161800,866689621
javax.servlet.jsp_2.2.0.v201112011158,868383120
javax.xml_1.3.4.v201005080400,864739782
org.apache.ant_1.9.6.v201510161327,862857723
org.apache.batik.css_1.7.0.v201011041433,861177423
org.apache.batik.util_1.7.0.v201011041433,859363909
org.apache.batik.util.gui_1.7.0.v200903091627,860232307
org.apache.commons.codec_1.6.0.v201305230611,857350026
org.apache.commons.fileupload_1.2.2.v20111214-1400,855620071
org.apache.commons.io_2.2.0.v201405211200,854536547
org.apache.commons.jxpath_1.3.0.v200911051830,852926144
org.apache.commons.logging_1.1.1.v201101211721,851868856
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,838940463
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,837341117
org.apache.jasper.glassfish_2.2.2.v201501141630,834577092
org.apache.lucene.analysis_3.5.0.v20120725-1805,830984239
org.apache.lucene.core_3.5.0.v20120725-1805,829508775
org.apache.mina.core_2.0.7.v201401071602,824787300
org.apache.sshd.core_0.7.0.v201303101611,821500565
org.easymock_2.4.0.v20090202-0900,820508300
org.eclipse.ant.core_3.4.100.v20160505-0642,819265827
org.eclipse.ant.launching_1.1.201.v20161115-1135,817855905
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,816846039
org.eclipse.ant.ui_3.6.201.v20161115-1135,812742386
org.eclipse.compare_3.7.1.v20170103-1805,804365722
org.eclipse.compare.core_3.6.0.v20160418-1534,811351039
org.eclipse.compare.examples_3.2.0.v20160323-1650,808739997
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,809725128
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,801674650
org.eclipse.core.contenttype_3.5.100.v20160418-1621,800430066
org.eclipse.core.databinding_1.6.0.v20160412-0910,794790140
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,799428327
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,797830160
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,796473514
org.eclipse.core.expressions_3.5.100.v20160418-1621,793756664
org.eclipse.core.externaltools_1.0.400.v20160509-1057,792850764
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,791939875
org.eclipse.core.filesystem_1.6.1.v20161113-2349,782021376
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,785286804
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,779927020
org.eclipse.core.net_1.3.0.v20160418-1534,776210463
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,773586596
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,772713979
org.eclipse.core.variables_3.3.0.v20160419-1720,771908743
org.eclipse.cvs_1.4.302.v20170301-0400,771266645
org.eclipse.debug.core_3.10.100.v20160419-1720,769955572
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,768811544
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,767487765
org.eclipse.debug.ui_3.11.202.v20161114-0338,762694542
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,761728687
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,760923361
org.eclipse.e4.core.di_1.6.1.v20160712-0927,758996392
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,760321620
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,759748953
org.eclipse.e4.core.services_2.0.100.v20160509-1032,757924787
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,756913944
org.eclipse.e4.tools_4.5.0.v20160503-0947,746604859
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,755913773
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,749759513
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,748787755
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,745644124
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,744149526
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,740852416
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,742359353
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,740025608
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,739316609
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,735468756
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,734166572
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,-1
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,732721235
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,723603381
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,731893002
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,729912067
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,731304827
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,726517579
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,725614343
org.eclipse.ecf_3.8.0.v20160405-1820,714604542
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,722218109
org.eclipse.ecf.identity_3.7.0.v20160405-1820,720977143
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,716751913
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,718858170
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,720129315
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,718045909
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,715878147
org.eclipse.emf.common_2.12.0.v20160420-0247,712450326
org.eclipse.emf.ecore_2.12.0.v20160420-0247,705939938
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,710289503
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,708878617
org.eclipse.equinox.app_1.3.400.v20150715-1528,704530823
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,703485270
org.eclipse.equinox.cm_1.1.200.v20160324-1850,701709811
org.eclipse.equinox.common_3.8.0.v20160509-1230,-1
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,699283136
org.eclipse.equinox.console_1.1.200.v20150929-1405,-1
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,698061305
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,696939572
org.eclipse.equinox.coordinator_1.3.200.v20160325-1323,694685900
org.eclipse.equinox.device_1.0.400.v20130327-1442,693538498
org.eclipse.equinox.ds_1.4.400.v20160226-2036,689464098
org.eclipse.equinox.event_1.3.200.v20160324-1850,688710886
org.eclipse.equinox.frameworkadmin_2.0.300.v20160504-1450,685586292
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223,687863264
org.eclipse.equinox.frameworkadmin.test_1.1.100.v20150430-1836,686598510
org.eclipse.equinox.http.jetty_3.3.0.v20160324-1850,684506579
org.eclipse.equinox.http.registry_1.1.400.v20150715-1528,683506648
org.eclipse.equinox.http.servlet_1.3.1.v20160808-1329,681918046
org.eclipse.equinox.http.servletbridge_1.0.300.v20130327-1442,680987521
org.eclipse.equinox.io_1.1.100.v20150430-1834,680036746
org.eclipse.equinox.ip_1.1.300.v20130327-1442,679031343
org.eclipse.equinox.jsp.jasper_1.0.500.v20150119-1358,677183662
org.eclipse.equinox.jsp.jasper.registry_1.0.300.v20130327-1442,678168278
org.eclipse.equinox.launcher_1.3.201.v20161025-1711,665287932
org.eclipse.equinox.launcher.cocoa.macosx.x86_64_1.1.401.v20161122-1740,676423986
org.eclipse.equinox.launcher.gtk.aix.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.aix.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.hpux.ia64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64le_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390x_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.sparcv9_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.win32.win32.x86_1.1.401.v20161122-1740,-1
