Bundle,Resolving Time
com.google.code.atinject.tck_1.1.0.v20150813-0925,886917531
com.ibm.icu_56.1.0.v201601250100,884961754
com.jcraft.jsch_0.1.54.v20170116-1932,883537898
com.sun.el_2.2.0.v201303151357,882041684
javax.annotation_1.2.0.v201602091430,880939427
javax.el_2.2.0.v201303151357,879931556
javax.inject_1.0.0.v20091030,879120317
javax.servlet_3.1.0.v201410161800,875987470
javax.servlet.jsp_2.2.0.v201112011158,877875016
javax.xml_1.3.4.v201005080400,872740920
org.apache.ant_1.9.6.v201510161327,871291131
org.apache.batik.css_1.7.0.v201011041433,870051810
org.apache.batik.util_1.7.0.v201011041433,867781705
org.apache.batik.util.gui_1.7.0.v200903091627,868801073
org.apache.commons.codec_1.6.0.v201305230611,865633238
org.apache.commons.fileupload_1.2.2.v20111214-1400,864510689
org.apache.commons.io_2.2.0.v201405211200,863460384
org.apache.commons.jxpath_1.3.0.v200911051830,861913580
org.apache.commons.logging_1.1.1.v201101211721,860890528
org.apache.felix.gogo.command_0.10.0.v201209301215,-1
org.apache.felix.gogo.runtime_0.10.0.v201209301036,-1
org.apache.felix.gogo.shell_0.10.0.v201212101605,-1
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,848689804
org.apache.httpcomponents.httpcore_4.3.3.v201411290715,847241212
org.apache.jasper.glassfish_2.2.2.v201501141630,843592394
org.apache.lucene.analysis_3.5.0.v20120725-1805,841797428
org.apache.lucene.core_3.5.0.v20120725-1805,840346560
org.apache.mina.core_2.0.7.v201401071602,835300445
org.apache.sshd.core_0.7.0.v201303101611,831540385
org.easymock_2.4.0.v20090202-0900,830408902
org.eclipse.ant.core_3.4.100.v20160505-0642,829222993
org.eclipse.ant.launching_1.1.201.v20161115-1135,827776124
org.eclipse.ant.optional.junit_3.3.200.v20160315-2119,826703865
org.eclipse.ant.ui_3.6.201.v20161115-1135,822667080
org.eclipse.compare_3.7.1.v20170103-1805,814278423
org.eclipse.compare.core_3.6.0.v20160418-1534,821353639
org.eclipse.compare.examples_3.2.0.v20160323-1650,819507309
org.eclipse.compare.examples.xml_3.4.0.v20161002-1953,820299785
org.eclipse.compare.win32_1.1.0.v20160418-1534,-1
org.eclipse.core.commands_3.8.1.v20161221-1651,813071755
org.eclipse.core.contenttype_3.5.100.v20160418-1621,811717643
org.eclipse.core.databinding_1.6.0.v20160412-0910,805256806
org.eclipse.core.databinding.beans_1.3.100.v20160509-1025,810537530
org.eclipse.core.databinding.observable_1.6.0.v20160511-1747,808505758
org.eclipse.core.databinding.property_1.6.0.v20160427-0852,806957222
org.eclipse.core.expressions_3.5.100.v20160418-1621,804115391
org.eclipse.core.externaltools_1.0.400.v20160509-1057,803097032
org.eclipse.core.filebuffers_3.6.0.v20160503-1849,801651830
org.eclipse.core.filesystem_1.6.1.v20161113-2349,790848887
org.eclipse.core.filesystem.aix.ppc_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.aix.ppc64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.hpux.ia64_1.1.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc_1.0.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.linux.ppc64le_1.4.0.v20140822-1153,-1
org.eclipse.core.filesystem.linux.x86_1.4.200.v20140124-1940,-1
org.eclipse.core.filesystem.linux.x86_64_1.2.200.v20140124-1940,-1
org.eclipse.core.filesystem.macosx_1.3.0.v20140124-1940,793737215
org.eclipse.core.filesystem.win32.x86_1.4.0.v20140124-1940,-1
org.eclipse.core.filesystem.win32.x86_64_1.4.0.v20140124-1940,-1
org.eclipse.core.jobs_3.8.0.v20160509-0411,789615682
org.eclipse.core.net_1.3.0.v20160418-1534,783110097
org.eclipse.core.net.linux.x86_1.2.0.v20160323-1650,-1
org.eclipse.core.net.linux.x86_64_1.2.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_1.1.0.v20160323-1650,-1
org.eclipse.core.net.win32.x86_64_1.1.0.v20160323-1650,-1
org.eclipse.core.resources_3.11.1.v20161107-2032,779508250
org.eclipse.core.resources.win32.x86_3.5.100.v20140124-1940,-1
org.eclipse.core.resources.win32.x86_64_3.5.0.v20140124-1940,-1
org.eclipse.core.runtime_3.12.0.v20160606-1342,778289599
org.eclipse.core.variables_3.3.0.v20160419-1720,777285849
org.eclipse.cvs_1.4.302.v20170301-0400,776549817
org.eclipse.debug.core_3.10.100.v20160419-1720,775104646
org.eclipse.debug.examples.core_1.4.0.v20160419-1720,773910366
org.eclipse.debug.examples.ui_1.5.0.v20160419-1720,772505006
org.eclipse.debug.ui_3.11.202.v20161114-0338,767441044
org.eclipse.e4.core.commands_0.11.100.v20160506-0804,766065234
org.eclipse.e4.core.contexts_1.5.1.v20170203-1100,765011337
org.eclipse.e4.core.di_1.6.1.v20160712-0927,762278795
org.eclipse.e4.core.di.annotations_1.5.0.v20151127-1241,764153120
org.eclipse.e4.core.di.extensions_0.14.0.v20160211-1614,763263053
org.eclipse.e4.core.services_2.0.100.v20160509-1032,761102036
org.eclipse.e4.emf.xpath_0.1.200.v20160506-0804,760437525
org.eclipse.e4.tools_4.5.0.v20160503-0947,752065148
org.eclipse.e4.tools.compat_4.5.0.v20160503-0947,759500757
org.eclipse.e4.tools.emf.editor3x_4.5.0.v20160503-0947,-1
org.eclipse.e4.tools.emf.ui_4.5.100.v20170109-1815,-1
org.eclipse.e4.tools.jdt.templates_4.5.0.v20161220-1401,754098334
org.eclipse.e4.tools.services_4.5.0.v20160503-0947,753190335
org.eclipse.e4.ui.bindings_0.11.100.v20160509-1025,750928246
org.eclipse.e4.ui.css.core_0.12.1.v20161114-0210,749440561
org.eclipse.e4.ui.css.swt_0.12.100.v20160517-1505,746952829
org.eclipse.e4.ui.css.swt.theme_0.10.100.v20160523-0836,748415924
org.eclipse.e4.ui.di_1.1.100.v20160506-0759,746115486
org.eclipse.e4.ui.dialogs_1.1.0.v20151127-1218,745253835
org.eclipse.e4.ui.model.workbench_1.2.0.v20160229-1459,743465984
org.eclipse.e4.ui.services_1.2.100.v20160506-0759,742463482
org.eclipse.e4.ui.swt.gtk_1.0.100.v20160301-1001,-1
org.eclipse.e4.ui.widgets_1.1.100.v20160506-0759,740221751
org.eclipse.e4.ui.workbench_1.4.0.v20160517-1624,732848358
org.eclipse.e4.ui.workbench.addons.swt_1.2.101.v20170206-1129,738766191
org.eclipse.e4.ui.workbench.renderers.swt_0.14.1.v20170117-1415,736687694
org.eclipse.e4.ui.workbench.renderers.swt.cocoa_0.11.300.v20160330-1418,737879742
org.eclipse.e4.ui.workbench.swt_0.14.1.v20160829-0832,734992825
org.eclipse.e4.ui.workbench3_0.13.100.v20160506-0759,734087537
org.eclipse.ecf_3.8.0.v20160405-1820,720835089
org.eclipse.ecf.filetransfer_5.0.0.v20160405-1820,730613419
org.eclipse.ecf.identity_3.7.0.v20160405-1820,728762938
org.eclipse.ecf.provider.filetransfer_3.2.200.v20160405-1820,724371938
org.eclipse.ecf.provider.filetransfer.httpclient4_1.1.100.v20160405-1820,726434732
org.eclipse.ecf.provider.filetransfer.httpclient4.ssl_1.1.0.v20160405-1820,727816942
org.eclipse.ecf.provider.filetransfer.ssl_1.0.0.v20160405-1820,725608872
org.eclipse.ecf.ssl_1.2.0.v20160405-1820,723569086
org.eclipse.emf.common_2.12.0.v20160420-0247,719002001
org.eclipse.emf.ecore_2.12.0.v20160420-0247,714078148
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,717939523
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,716850585
org.eclipse.equinox.app_1.3.400.v20150715-1528,712634394
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,711606476
org.eclipse.equinox.cm_1.1.200.v20160324-1850,710456207
org.eclipse.equinox.common_3.8.0.v20160509-1230,-1
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,708200556
org.eclipse.equinox.console_1.1.200.v20150929-1405,-1
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,707447630
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,706501794
org.eclipse.equinox.coordinator_1.3.200.v20160325-1323,704767275
org.eclipse.equinox.device_1.0.400.v20130327-1442,703888933
org.eclipse.equinox.ds_1.4.400.v20160226-2036,699742842
org.eclipse.equinox.event_1.3.200.v20160324-1850,698537020
org.eclipse.equinox.frameworkadmin_2.0.300.v20160504-1450,695404211
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223,697299446
org.eclipse.equinox.frameworkadmin.test_1.1.100.v20150430-1836,696251948
org.eclipse.equinox.http.jetty_3.3.0.v20160324-1850,694423125
org.eclipse.equinox.http.registry_1.1.400.v20150715-1528,693522783
org.eclipse.equinox.http.servlet_1.3.1.v20160808-1329,691984674
org.eclipse.equinox.http.servletbridge_1.0.300.v20130327-1442,691191248
org.eclipse.equinox.io_1.1.100.v20150430-1834,690309156
org.eclipse.equinox.ip_1.1.300.v20130327-1442,687389932
org.eclipse.equinox.jsp.jasper_1.0.500.v20150119-1358,685700421
org.eclipse.equinox.jsp.jasper.registry_1.0.300.v20130327-1442,686494906
org.eclipse.equinox.launcher_1.3.201.v20161025-1711,673608863
org.eclipse.equinox.launcher.cocoa.macosx.x86_64_1.1.401.v20161122-1740,685042544
org.eclipse.equinox.launcher.gtk.aix.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.aix.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.hpux.ia64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.ppc64le_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.s390x_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.sparcv9_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.gtk.solaris.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.win32.win32.x86_1.1.401.v20161122-1740,-1
org.eclipse.equinox.launcher.win32.win32.x86_64_1.1.401.v20161122-1740,-1
org.eclipse.equinox.metatype_1.4.200.v20160324-1850,670447162
org.eclipse.equinox.p2.artifact.repository_1.1.500.v20160419-0834,668981777
org.eclipse.equinox.p2.console_1.0.500.v20160504-1450,668139010
org.eclipse.equinox.p2.core_2.4.100.v20160419-0834,667029181
org.eclipse.equinox.p2.director_2.3.300.v20160504-1450,664978003
org.eclipse.equinox.p2.director.app_1.0.500.v20160419-0834,665985882
org.eclipse.equinox.p2.directorywatcher_1.1.100.v20150423-1455,663991944
org.eclipse.equinox.p2.discovery_1.0.400.v20160504-1450,650819011
org.eclipse.equinox.p2.discovery.compatibility_1.0.200.v20131211-1531,651568618
org.eclipse.equinox.p2.engine_2.4.100.v20160419-0834,649437831
org.eclipse.equinox.p2.extensionlocation_1.2.300.v20160419-0834,648318413
org.eclipse.equinox.p2.garbagecollector_1.0.300.v20160504-1450,647365880
org.eclipse.equinox.p2.installer_1.0.500.v20160419-0100,646460727
org.eclipse.equinox.p2.jarprocessor_1.0.500.v20160504-1450,645638737
org.eclipse.equinox.p2.metadata_2.3.100.v20160427-2220,643008259
org.eclipse.equinox.p2.metadata.repository_1.2.300.v20160419-0834,644236916
org.eclipse.equinox.p2.operations_2.4.200.v20160504-1450,642070479
org.eclipse.equinox.p2.publisher_1.4.100.v20160504-1450,639419620
org.eclipse.equinox.p2.publisher.eclipse_1.2.100.v20160504-1450,640711159
org.eclipse.equinox.p2.reconciler.dropins_1.1.400.v20160504-1450,638315700
org.eclipse.equinox.p2.repository_2.3.200.v20160421-0324,635690754
org.eclipse.equinox.p2.repository.tools_2.1.300.v20160421-0324,637024454
org.eclipse.equinox.p2.touchpoint.eclipse_2.1.400.v20160419-0834,634683276
org.eclipse.equinox.p2.touchpoint.natives_1.2.100.v20160419-0834,633958221
org.eclipse.equinox.p2.transport.ecf_1.1.201.v20161115-1927,633278529
org.eclipse.equinox.p2.ui_2.4.100.v20160419-0834,624394431
org.eclipse.equinox.p2.ui.admin_1.0.200.v20150430-1836,631457412
org.eclipse.equinox.p2.ui.admin.rcp_1.0.200.v20150220-1741,632544639
org.eclipse.equinox.p2.ui.discovery_1.0.201.v20160901-1335,629723433
org.eclipse.equinox.p2.ui.importexport_1.1.200.v20160521-1138,628604903
org.eclipse.equinox.p2.ui.sdk_1.0.400.v20150423-1455,626268398
org.eclipse.equinox.p2.ui.sdk.scheduler_1.3.0.v20161124-1529,627304962
org.eclipse.equinox.p2.updatechecker_1.1.300.v20161124-1529,623423815
org.eclipse.equinox.p2.updatesite_1.0.600.v20160504-1450,621963514
