Bundle,Dependency Type,Wired Bundle,Package
com.google.code.atinject.tck_1.1.0.v20150813-0925,osgi.wiring.package,javax.inject_1.0.0.v20091030,javax.inject
com.google.code.atinject.tck_1.1.0.v20150813-0925,osgi.wiring.bundle,org.junit_4.12.0.v201504281640,
com.jcraft.jsch_0.1.54.v20170116-1932,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.crypto
com.jcraft.jsch_0.1.54.v20170116-1932,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.crypto.interfaces
com.jcraft.jsch_0.1.54.v20170116-1932,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.crypto.spec
com.jcraft.jsch_0.1.54.v20170116-1932,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,org.ietf.jgss
com.sun.el_2.2.0.v201303151357,osgi.wiring.package,javax.el_2.2.0.v201303151357,javax.el
com.sun.el_2.2.0.v201303151357,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet.http
javax.annotation_1.2.0.v201602091430,osgi.wiring.bundle,org.eclipse.osgi_3.11.3.v20170209-1843,
javax.el_2.2.0.v201303151357,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet
javax.el_2.2.0.v201303151357,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet.http
javax.servlet.jsp_2.2.0.v201112011158,osgi.wiring.package,javax.el_2.2.0.v201303151357,javax.el
javax.servlet.jsp_2.2.0.v201112011158,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet
javax.servlet.jsp_2.2.0.v201112011158,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet.http
javax.xml_1.3.4.v201005080400,osgi.wiring.bundle,org.eclipse.osgi_3.11.3.v20170209-1843,
org.apache.ant_1.9.6.v201510161327,osgi.wiring.bundle,org.junit_4.12.0.v201504281640,
org.apache.batik.css_1.7.0.v201011041433,osgi.wiring.package,org.w3c.dom.events_3.0.0.draft20060413_v201105210656,org.w3c.dom.events
org.apache.batik.css_1.7.0.v201011041433,osgi.wiring.package,org.w3c.css.sac_1.3.1.v200903091627,org.w3c.css.sac
org.apache.batik.css_1.7.0.v201011041433,osgi.wiring.package,org.w3c.dom.svg_1.1.0.v201011041433,org.w3c.dom.svg
org.apache.batik.css_1.7.0.v201011041433,osgi.wiring.bundle,org.apache.batik.util_1.7.0.v201011041433,
org.apache.batik.util_1.7.0.v201011041433,osgi.wiring.bundle,org.apache.batik.util.gui_1.7.0.v200903091627,
org.apache.commons.fileupload_1.2.2.v20111214-1400,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet
org.apache.commons.fileupload_1.2.2.v20111214-1400,osgi.wiring.package,javax.servlet_3.1.0.v201410161800,javax.servlet.http
org.apache.commons.fileupload_1.2.2.v20111214-1400,osgi.wiring.package,org.apache.commons.io_2.2.0.v201405211200,org.apache.commons.io
org.apache.commons.fileupload_1.2.2.v20111214-1400,osgi.wiring.package,org.apache.commons.io_2.2.0.v201405211200,org.apache.commons.io.output
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.crypto
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.crypto.spec
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.net
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.net.ssl
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.eclipse.osgi_3.11.3.v20170209-1843,javax.security.auth.x500
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.commons.codec_1.6.0.v201305230611,org.apache.commons.codec.binary
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.commons.logging_1.1.1.v201101211721,org.apache.commons.logging
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.httpcomponents.httpcore_4.3.3.v201411290715,org.apache.http
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.httpcomponents.httpcore_4.3.3.v201411290715,org.apache.http.concurrent
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.httpcomponents.httpcore_4.3.3.v201411290715,org.apache.http.config
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.httpcomponents.httpcore_4.3.3.v201411290715,org.apache.http.entity
org.apache.httpcomponents.httpclient_4.3.6.v201511171540,osgi.wiring.package,org.apache.httpcomponents.httpcore_4.3.3.v201411290715,org.apache.http.impl
